row_index,document_id,chunk_id,status,previous_embedding_input_sha256,embedding_input_sha256,previous_vector_sha256,vector_sha256,vector_bytes_identical
0,doc_6a87f96c90352834c9c9ee68,chunk_25320f1325ea6fe335fe4acf,reused,a4376bf78954720b498f138748d289203cf38452fc11e567b9dc4a1b57595852,a4376bf78954720b498f138748d289203cf38452fc11e567b9dc4a1b57595852,9ac6c6975fd18f34a14e5a8c5c416102172a086acba9ee55230e1cdeb990caa2,9ac6c6975fd18f34a14e5a8c5c416102172a086acba9ee55230e1cdeb990caa2,true
1,doc_60a7549b0fc0fbbd8285e0c5,chunk_b0ade9174339f63bbdbf8578,reused,1f1c2f0885be8b4ffe9a480c446f3b8bf6ee14690af2e10413cc8a8157f02a91,1f1c2f0885be8b4ffe9a480c446f3b8bf6ee14690af2e10413cc8a8157f02a91,c1db8befa8a576a47d22156dbe251e0b7dc1a3316a2bb7e373e6afd01f239774,c1db8befa8a576a47d22156dbe251e0b7dc1a3316a2bb7e373e6afd01f239774,true
2,doc_60a7549b0fc0fbbd8285e0c5,chunk_d017de9f816a27f5aac2bb58,reused,c2bc3053f06990d29a528ce3b96e75ca8dd4ec98ebe7b656188dda4c470684c7,c2bc3053f06990d29a528ce3b96e75ca8dd4ec98ebe7b656188dda4c470684c7,211ed86f8771b09c759584f7bc889ad73bed2649c53b9bb7e28462fd59b9fef5,211ed86f8771b09c759584f7bc889ad73bed2649c53b9bb7e28462fd59b9fef5,true
3,doc_60a7549b0fc0fbbd8285e0c5,chunk_75062a8913d7f987493850f2,reused,6c7f82c58fd52d7c488f98d1c137e9d07244c9a9eec510779bf9a3fbabdff13f,6c7f82c58fd52d7c488f98d1c137e9d07244c9a9eec510779bf9a3fbabdff13f,743f1747708d6ff350c774b593522f1f50c72ef7feb805ff4996bd27ee15e7f7,743f1747708d6ff350c774b593522f1f50c72ef7feb805ff4996bd27ee15e7f7,true
4,doc_60a7549b0fc0fbbd8285e0c5,chunk_001452faa0a9e61dd51b965d,reused,2f64b122adb9a02a426ed78b2a80dc07ae5cc13a0cc780bda0a00a1b48989321,2f64b122adb9a02a426ed78b2a80dc07ae5cc13a0cc780bda0a00a1b48989321,153613a5dcb4f8c274a8ff2fff483867fbc2e2428ea2e5fde141aae3de3a495a,153613a5dcb4f8c274a8ff2fff483867fbc2e2428ea2e5fde141aae3de3a495a,true
5,doc_60a7549b0fc0fbbd8285e0c5,chunk_4d1b230f44fa73d5e7447f96,reused,3d4998d2f30885bf972d8129cc20689e578ffc3394d3bab2c01d0375baf6fde4,3d4998d2f30885bf972d8129cc20689e578ffc3394d3bab2c01d0375baf6fde4,674fc64731ea0520974d59ded926ba7162ef9b57c9c204f9003285b0a9df4a5a,674fc64731ea0520974d59ded926ba7162ef9b57c9c204f9003285b0a9df4a5a,true
6,doc_60a7549b0fc0fbbd8285e0c5,chunk_7dfa1b180c0e1e40eff12768,reused,533397702e44fba212d0c3b6a03f6da38684e9c2ba91283998cf91ee090eb73c,533397702e44fba212d0c3b6a03f6da38684e9c2ba91283998cf91ee090eb73c,d121090982a503baa63dc1c909dc483c32b935793ae04d2283fdf3bac66047b8,d121090982a503baa63dc1c909dc483c32b935793ae04d2283fdf3bac66047b8,true
7,doc_60a7549b0fc0fbbd8285e0c5,chunk_622a8a60edd861b711559b51,reused,ea0d6c973355e5dfe9bd1ee6c44590970bedbfcb0fed5077d0128534c48872f5,ea0d6c973355e5dfe9bd1ee6c44590970bedbfcb0fed5077d0128534c48872f5,a4ce10d06f8596c33597f8a59751045af8acf74721f1919496bc741194fde902,a4ce10d06f8596c33597f8a59751045af8acf74721f1919496bc741194fde902,true
8,doc_60a7549b0fc0fbbd8285e0c5,chunk_808061ebe91cf03c67b006f7,reused,20e3d9f9a38d57d369de07fcc8204ad80e31ed7ce082e263567af4aa804701b1,20e3d9f9a38d57d369de07fcc8204ad80e31ed7ce082e263567af4aa804701b1,c27755747982198a400fea4cb81729451f1d8311d641ca6447be58c6475ed950,c27755747982198a400fea4cb81729451f1d8311d641ca6447be58c6475ed950,true
9,doc_60a7549b0fc0fbbd8285e0c5,chunk_4ad338bc8c52d29fc9c9f087,reused,3a2822b134a14c664f0a5c30c37d6b95702c0811b21d2c298a3423171a52f936,3a2822b134a14c664f0a5c30c37d6b95702c0811b21d2c298a3423171a52f936,1674e23c27cdc04358c59fe5434f90d70457f082d8b5c5f18f9d54d411c2e983,1674e23c27cdc04358c59fe5434f90d70457f082d8b5c5f18f9d54d411c2e983,true
