document_id,file_name,chunk_count,pass_count,issue_count,minor_count,major_count,critical_count
doc_6a87f96c90352834c9c9ee68,Shibor利率互换定盘(收盘)曲线报价规则.docx,1,1,0,0,0,0
doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,8,8,0,0,0,0
doc_578fbc34454f5fa2d8e74568,上海证券交易所、中国证券登记结算有限责任公司股票期权组合策略业务指引.docx,5,5,0,0,0,0
doc_e52ac4a6612915d063e678d8,上海证券交易所、中国证券登记结算有限责任公司股票期权试点风险控制管理办法.docx,17,17,0,0,0,0
doc_2beabfc0a56dd7399260bba1,上海证券交易所上市公司自律监管指引第5号——交易与关联交易（2025年3月修订）.docx,14,14,0,0,0,0
doc_72274037b208eb81b6e0eaca,上海证券交易所信用保护工具交易业务指引(2022年修订).docx,10,10,0,0,0,0
doc_2392a7d24473c4d7c1cad449,上海证券交易所股票期权试点交易规则.docx,26,26,0,0,0,0
doc_8f5919c2e50ecae7b0b4b960,上海证券交易所股票期权试点做市商业务指引(2015年修订).docx,5,5,0,0,0,0
doc_5ba264600f965c2606eb1d27,上海证券交易所股票期权试点投资者适当性管理指引(2017年修订).docx,8,8,0,0,0,0
doc_118c809698d6296cd6f80188,上海证券交易所证券交易规则适用指引第1号——合格境外机构投资者和人民币合格境外机构投资者.docx,4,4,0,0,0,0
doc_9fa2a0c832c7b6505a74d692,中华人民共和国期货和衍生品法.pdf,27,27,0,0,0,0
doc_0c2ba098d2a564fe1e7d3c2e,中华人民共和国证券投资基金法.pdf,27,27,0,0,0,0
doc_c4fca172634cc59106f2bfc6,中华人民共和国证券法.pdf,41,41,0,0,0,0
doc_6acf3282f041a6b3ce85d1fb,中国场外信用衍生产品交易基本术语与适用规则（2022年版）.pdf,33,33,0,0,0,0
doc_01caf159025c8afcb451c514,中国证券期货市场场外衍生品交易商品衍生品定义文件（2015年版）.doc,9,9,0,0,0,0
doc_4da41553856c16155149f89d,中国证券期货市场场外衍生品交易权益类衍生品定义文件（2014年版）.docx,8,8,0,0,0,0
doc_49fa45af6688c0561b4c6292,中国证券期货市场衍生品交易主协议(信用保护合约专用版)备案指引.docx,4,4,0,0,0,0
doc_d875c3ce729703dba2da25c7,中国证券期货市场衍生品交易主协议.doc,14,14,0,0,0,0
doc_d6958eb9b47a1e2db646abd2,中国银行间市场利率衍生产品交易定义文件（2022年版）.pdf,9,9,0,0,0,0
doc_63e7a9402494a3983e4c4806,中国银行间市场金融衍生产品交易主协议（2009年版）.pdf,19,19,0,0,0,0
doc_75c1cb9b707848f58b2a91d4,中国银行间市场金融衍生产品交易主协议（凭证特别版）.pdf,20,20,0,0,0,0
doc_e7726e8fe4e3b29976a70af0,中国银行间市场金融衍生产品交易主协议（跨境文本-2022年版）.pdf,23,23,0,0,0,0
doc_b0158a0b05d79db1aedaca73,中国银行间市场金融衍生产品交易转让式履约保障文件（变动保证金-2025年版）.pdf,25,25,0,0,0,0
doc_b286ab7f452211fbb2b04002,人民币利率互换集中清算合约移仓交易业务指引.docx,6,6,0,0,0,0
doc_0297598a63f859c5dd28f529,保险资产管理产品管理暂行办法.doc,11,11,0,0,0,0
doc_2f5de73d54346c4bffde8559,保险资金参与金融衍生产品交易办法.doc,6,6,0,0,0,0
doc_40efac9f02f60d69669c6748,信托公司管理办法（2025年9月修订）.docx,19,19,0,0,0,0
doc_5f55756c520aba6de66edaa9,债券远期交易保证金集中管理操作细则.docx,8,8,0,0,0,0
doc_b856e444bd5981dd572c6592,全国银行间债券市场债券远期交易规则.doc,9,9,0,0,0,0
doc_f379ed43c4cb26f83637c1f9,全国银行间同业拆借中心信用风险缓释工具交易规则.docx,7,7,0,0,0,0
doc_2a8c7471635c7d69096012f6,全国银行间同业拆借中心标准利率互换交易规则.doc,9,9,0,0,0,0
doc_6a4d4c30b7c6bf1dccac7044,公开募集证券投资基金投资信用衍生品指引.docx,1,1,0,0,0,0
doc_90f8ff34de4a6577fde8e1bf,关于人民币利率互换交易备案有关事项的通知.doc,3,3,0,0,0,0
doc_c690621bbbf5d83d3ea90053,关于加强场外衍生品业务自律管理的通知.docx,4,4,0,0,0,0
doc_5697962363d8ed1e6bd764c8,关于加强私募投资基金监管的若干规定.pdf,5,5,0,0,0,0
doc_83e61ea2abbebac9146089d5,关于规范金融机构资产管理业务的指导意见.docx,12,12,0,0,0,0
doc_f50a0df7503b9a36b508b8d2,关于证券公司证券自营业务投资范围及有关事项的规定(2020年修订).pdf,2,2,0,0,0,0
doc_4eac63d1b911cf67e7824c5d,关于进一步明确规范金融机构资产管理业务指导意见有关事项的通知.docx,1,1,0,0,0,0
doc_d80a0090f706453315f77ce0,关于进一步规范商业银行结构性存款业务的通知.docx,4,4,0,0,0,0
