chunk_id,document_id,file_name,file_path,document_title,document_title_source,issuing_authority,document_number,publication_date,effective_date,validity_status,version,part_title,chapter_title,section_title,article_start,article_end,paragraph_range,attachment_name,chunk_index,character_count,is_overlapping,overlap_source_chunk_id,is_oversized,oversized_reason,source_type,official_url,text_preview
chunk_25320f1325ea6fe335fe4acf,doc_6a87f96c90352834c9c9ee68,Shibor利率互换定盘(收盘)曲线报价规则.docx,data/raw/监管文件/Shibor利率互换定盘(收盘)曲线报价规则.docx,Shibor利率互换定盘(收盘)曲线报价规则,authoritative_catalog,中国外汇交易中心,,2012-05-18,,现行有效,,,,,,,,,1,1045,False,,False,,docx,https://www.chinamoney.com.cn/chinese/bbyspscllhh/20120518/2779726.html,"Shibor利率互换定盘(收盘)曲线报价规则 一、 报价机构资格 Shibor利率互换报价机构自动成为Shibor利率互换定盘(收盘)曲线报价机构(报价机构)。上一年度在全国银行间同业拆借中心(交易中心)本币交易系统利率互换交易量排名前30位的其他市场成员可向交易中心申请成为报价机构,申请时应向交易中心提交申请表格(见附表)。 交易中心每半年根据报价机构报价评估情况及申请情况对报价机构进行调整,具"
chunk_462862d76b1d1f8915df7b12,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第一章 总则,,第一条,第八条,,附件,1,867,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第一章 总则 第一条 为健全信用风险分担机制,促进债券市场健康稳定发展,根据《中华人民共和国证券法》《中华人民共和国合同法》等法律、行政法规、部门规章及上海证券交易所(以下简称上交所)和中国证券登记结算有限责任公司(以下简称中国结算)的相关业务规则,制定本办法。 第二条 本办法所称信用保护工具,是指信用保护卖方和信用保"
chunk_d56d1d0fda7a4840483edbdc,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第二章 参与者管理,,第九条,第十三条,,附件,2,771,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第二章 参与者管理 第九条 信用保护工具参与者的投资者适当性应当与《上海证券交易所债券市场投资者适当性管理办法》规定的参考实体受保护债务投资者适当性标准保持一致。参考实体受保护的多个债务投资者适当性标准不一致的,以受保护债务中较高的投资者适当性标准为准;受保护债务投资者适当性标准不明确的,限于合格机构投资者参与信用保护"
chunk_0734e224556f4eb7f1b601ac,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第三章 信用保护合约,,第十四条,第二十一条,,附件,3,644,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第三章 信用保护合约 第十四条 合约交易双方协商一致后,一方通过交易系统进行合约申报,另一方进行确认。交易系统根据交易双方的确认,对符合形式要求的合约生成交易确认书。 第十五条 合约的保护费支付方式可选择按季支付约定保护费、季度标准保护费和部分前端费用相结合或者前端一次性支付。 季度标准保护费率根据合约签订时参考实体的"
chunk_626e1be078a229d0854aac72,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第四章 信用保护凭证,,第二十二条,第三十四条,,附件,4,998,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第四章 信用保护凭证 第二十二条 创设机构创设凭证,应当在创设前向上交所提交以下凭证创设文件: (一) 凭证创设说明书; (二) 创设机构的信用评级报告; (三) 经审计的创设机构的财务报表和审计报告; (四) 上交所要求提交的其他文件。 上交所对创设机构提交的文件进行完备性核对。文件完备的,上交所出具无异议函。 第二"
chunk_3b963c05af4deabfdd77d518,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第五章 信用事件,,第三十五条,第三十八条,,附件,5,435,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第五章 信用事件 第三十五条 信用事件是指合约或者凭证约定的触发结算赔付的事件。信用事件包括破产、支付违约和债务重组等类型。合约或者凭证创设说明书中,应当约定其适用的具体信用事件类型。 第三十六条 信用事件发生后,买方或者卖方可以按照约定的方式向对手方发送信用事件通知书及所附公共信息通知书并向上交所报告。 凭证约定的信"
chunk_3210ee1ad0cccb671f9cb082,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第六章 信息披露,,第三十九条,第四十四条,,附件,6,472,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第六章 信息披露 第三十九条 市场参与者应当对报告和披露信息的真实性、准确性、完整性、及时性负责,不得有虚假记载、误导性陈述或者重大遗漏,不得欺诈或者误导对手方。 第四十条 凭证存续期间,创设机构应当在每年4月30日之前披露上一年度的年度报告、财务报表及审计报告,并在每年6月30日之前披露跟踪评级报告。 第四十一条 凭"
chunk_9a1f39387f11ec661362156e,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第七章 风险控制和管理,,第四十五条,第五十一条,,附件,7,839,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第七章 风险控制和管理 第四十五条 上交所及时公布取得核心交易商或者创设机构资质的机构名单。市场参与者发生重大变化,或者证券公司发现其经纪客户发生重大变化,不再符合信用保护工具相关参与者资质要求的,应当及时向上交所报告。 第四十六条 核心交易商的信用保护工具净卖出总余额不得超过其最近一期末净资产的300%;其他投资者的"
chunk_94dfbf8e77dbbf8a99fa11f2,doc_9fdab235b6fbe935b82ba694,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,data/raw/监管文件/上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法.docx,上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕7号,2019-01-18,2019-01-18,现行有效,,,第八章 附则,,第五十二条,第五十七条,,附件,8,1032,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d729fe672474665b89d343c329f2b9e&body=,"上海证券交易所 中国证券登记结算有限责任公司信用保护工具业务管理试点办法 附件 第八章 附则 第五十二条 市场参与者根据相关法律法规、部门规章、相关交易业务规则、登记结算业务规则及本办法的规定开展信用保护工具交易。信用保护工具交易达成后,市场参与者之间的纠纷不影响确认结果的有效性,也不影响中国结算按照本办法及其他相关业务规则进行的信用保护工具登记结算等业务办理结果的有效性。 第五十三条 由于交易任"
chunk_59b92343241dab27da66ad7d,doc_578fbc34454f5fa2d8e74568,上海证券交易所、中国证券登记结算有限责任公司股票期权组合策略业务指引.docx,data/raw/监管文件/上海证券交易所、中国证券登记结算有限责任公司股票期权组合策略业务指引.docx,上海证券交易所、中国证券登记结算有限责任公司股票期权组合策略业务指引,authoritative_catalog,上海证券交易所、中国结算,上证发〔2019〕110号,2019-11-15,2019-11-15,现行有效,,,,,第一条,第三条,,附件,1,839,False,,False,,docx,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=3fcdd7d29ea642a9a9eb40c9b9081802&body=,"附件 上海证券交易所、中国证券登记结算有限 责任公司股票期权组合策略业务指引 第一条 为了规范股票期权(以下简称期权)组合策略交易业务,提高资金使用效率,降低期权交易成本,维护期权交易秩序,根据《上海证券交易所股票期权试点交易规则》《中国证券登记结算有限责任公司关于上海证券交易所股票期权试点结算规则》《上海证券交易所、中国证券登记结算有限责任公司股票期权试点风险控制管理办法》(以下简称《风控办法》"
